"user_id","noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","numberOfShows_M2","total_Time_M2","watched_in_M2"
"ce0836",23,434.194183333333,0.869565217391304,0.130434782608696,0.304347826086957,0.260869565217391,0.434782608695652,0,17.3913043478261,43.4782608695652,26.0869565217391,0,13.0434782608696,0,0,0,0,0,0,0,56.5217391304348,26,234.9037,"1"
"ce0a2a",2,4.29896666666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"ce0b1b",1,0.8521,0,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"ce17e5",22,670.10045,0.636363636363636,0.363636363636364,0.227272727272727,0,0,0.772727272727273,0,4.54545454545455,50,0,45.4545454545455,0,0,0,0,0,0,0,59.0909090909091,40,1190.69268333333,"1"
"ce1b97",2,0.254866666666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,13,204.10915,"1"
"ce1da4",1,24.0035166666667,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,1,26.01025,"1"
"ce307e",7,83.2999,0.285714285714286,0.714285714285714,0,0.428571428571429,0.285714285714286,0.285714285714286,0,0,14.2857142857143,57.1428571428571,28.5714285714286,0,0,0,0,0,0,0,28.5714285714286,7,49.9189166666667,"1"
"ce3451",1,0.139283333333333,1,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"0"
"ce3965",1,1.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,"0"
"ce3a48",1,0.833666666666667,1,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0.616666666666667,"1"
"ce3f8d",30,580.04455,0.833333333333333,0.166666666666667,0.433333333333333,0,0.433333333333333,0.133333333333333,0,43.3333333333333,6.66666666666667,3.33333333333333,33.3333333333333,0,0,6.66666666666667,0,0,6.66666666666667,0,36.6666666666667,29,447.561083333333,"1"
"ce3f92",5,22.1276666666667,0.6,0.4,0,0,1,0,0,0,40,0,60,0,0,0,0,0,0,0,20,3,4.95058333333333,"1"
"ce583b",4,142.162316666667,1,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,75,22,372.5397,"1"
"ce5a67",1,0.3451,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"ce5d32",3,77.4631166666667,0,1,0,0.333333333333333,0.666666666666667,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,33.3333333333333,4,221.264033333333,"1"
"ce5ffe",25,828.73645,0.76,0.24,0.24,0.08,0.64,0.04,0,20,48,12,20,0,0,0,0,0,0,0,52,21,441.975416666667,"1"
"ce61ce",4,79.2672333333333,1,0,0.5,0.5,0,0,0,0,0,0,25,0,0,75,0,0,0,0,0,35,429.65345,"1"
"ce65d2",13,145.350483333333,0.923076923076923,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.846153846153846,0,0,7.69230769230769,84.6153846153846,0,7.69230769230769,0,0,0,0,0,0,0,15.3846153846154,0,0,"0"
"ce6610",1,7.23336666666667,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0"
"ce68ab",1,1.1174,1,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"0"
"ce6aeb",7,56.51475,0.571428571428571,0.428571428571429,0,0.714285714285714,0.285714285714286,0,0,0,0,14.2857142857143,42.8571428571429,0,0,28.5714285714286,0,0,0,14.2857142857143,28.5714285714286,6,4.15261666666667,"1"
"ce6be1",1,1.2934,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0.5,"1"
"ce86a9",7,81.7114,0.714285714285714,0.285714285714286,0.428571428571429,0.428571428571429,0.142857142857143,0,0,28.5714285714286,0,0,71.4285714285714,0,0,0,0,0,0,0,14.2857142857143,19,286.577733333333,"1"
"ce8c7e",20,444.865966666667,0.6,0.4,0,0,1,0,0,10,35,10,40,0,0,5,0,0,0,0,35,15,347.741366666667,"1"
"ce8f1c",2,11.8195,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
