"noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","watched_in_Feb"
41,789.357233333333,0.926829268292683,0.0731707317073171,0.170731707317073,0.804878048780488,0.024390243902439,0,2.4390243902439,0,7.31707317073171,9.75609756097561,29.2682926829268,0,0,34.1463414634146,0,2.4390243902439,7.31707317073171,7.31707317073171,36.5853658536585,"Yes"
2,1.17523333333333,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"Yes"
1,1.18486666666667,1,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
1,0.461883333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"No"
17,326.91685,0.882352941176471,0.117647058823529,0.0588235294117647,0.411764705882353,0.470588235294118,0.0588235294117647,0,11.7647058823529,41.1764705882353,0,47.0588235294118,0,0,0,0,0,0,0,47.0588235294118,"Yes"
1,16.33735,0,1,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"Yes"
3,91.5126166666667,0.333333333333333,0.666666666666667,0.333333333333333,0,0.666666666666667,0,0,0,66.6666666666667,0,0,0,0,0,0,0,33.3333333333333,0,33.3333333333333,"Yes"
1,0.594316666666667,0,1,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"No"
34,823.0996,0.705882352941177,0.294117647058824,0.0588235294117647,0.941176470588235,0,0,0,14.7058823529412,26.4705882352941,0,47.0588235294118,0,0,8.82352941176471,2.94117647058824,0,0,0,41.1764705882353,"Yes"
2,64.9118666666667,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,50,"Yes"
5,56.0386,0,1,0,0,1,0,0,60,40,0,0,0,0,0,0,0,0,0,0,"No"
9,39.07715,0.666666666666667,0.333333333333333,0.444444444444444,0.111111111111111,0.444444444444444,0,0,0,33.3333333333333,11.1111111111111,55.5555555555556,0,0,0,0,0,0,0,11.1111111111111,"Yes"
2,20.0639666666667,1,0,0,1,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,"No"
10,366.007933333333,0.4,0.6,0,0.6,0.3,0.1,0,0,100,0,0,0,0,0,0,0,0,0,80,"Yes"
8,267.455883333333,0.375,0.625,0.125,0.125,0.5,0.25,0,0,75,12.5,12.5,0,0,0,0,0,0,0,62.5,"Yes"
3,1.9237,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0,0,"No"
2,11.7850333333333,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"Yes"
1,0.166883333333333,0,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
1,0.249966666666667,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"Yes"
2,31.4429666666667,1,0,0,0.5,0.5,0,0,0,0,0,50,0,0,50,0,0,0,0,0,"Yes"
2,68.4192166666667,0.5,0.5,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,50,"No"
2,53.7079,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,50,"Yes"
1,26.0004833333333,1,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,"No"
3,80.3539333333333,0.666666666666667,0.333333333333333,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,66.6666666666667,"Yes"
